"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total CO2/cap"
1970,50083941,2932189907,1355176495,3847727102,3822142420,915906389,2821213576,7418215,4.26
1971,50083941,2945300450,1369087483,3578115940,3909623805,922117394,2901446723,7614081,4.15
1972,50083941,3062611174,1452567265,3658621198,4188505782,990445441,3070785116,7816160,4.28
1973,50083941,3126137247,1627795725,3848385806,4525957113,1030697916,3247303376,8022529,4.45
1974,50684489,3046229326,1621327148,3838422487,4608946375,1008068606,3218367104,8230324,4.35
1975,55325283,3121851242,1475599871,3715200689,4697901824,968424522,3285817380,8437193,4.25
1976,58498207,3248588200,1591586115,3883827959,5060610091,1043185041,3422090408,8619084,4.41
1977,62953207,3267114380,1589657653,4053241249,5280818863,1064676138,3544448296,8798920,4.46
1978,67318844,3367939527,1699502777,4102669817,5456389984,1098688039,3689734110,8977787,4.53
1979,73343596,3407117167,1701244366,4286301507,5668707566,1129730523,3756254223,9157533,4.57
1980,76950600,3256258490,1641416452,4180161886,5814256257,1091671089,3712449472,9339467,4.44
1981,77657691,3195177267,1502076553,4038506379,5815498254,1078370034,3694945677,9487564,4.28
1982,78949824,3179498768,1518360565,3864099187,5814545867,1037516564,3662378048,9636571,4.15
1983,83300742,3189446571,1509833857,3780955878,5975718393,1064908164,3696313875,9785582,4.11
1984,86805342,3302301193,1531241938,3905569858,6181343217,1124117836,3801178765,9933483,4.17
1985,87914037,3380069019,1561814513,3820011045,6334442976,1133824311,3878397666,10079163,4.15
1986,91117446,3410405927,1576404302,3793313786,6497405657,1165839343,4020830088,10214169,4.14
1987,92028403,3469369379,1592060746,3922413924,6773721684,1204077737,4160616224,10346662,4.2
1988,96232497,3540225647,1667378395,4037623811,7010515350,1263337608,4358535888,10475389,4.27
1989,94877297,3473311185,1716665120,4011049981,7305686900,1276002597,4482349671,10598712,4.27
1990,92408677,3349929271,1714643531,3957003533,7643948590,1293204148,4618527494,10735029,4.26
1991,90345589,3375933715,1726786330,3880289696,7790723011,1278456274,4656313733,10674858,4.21
1992,80988878,3184884098,1699359174,3747097960,7928603503,1295465631,4762057923,11273467,4.13
1993,79960655,3258208045,1689713765,3697125462,7947750051,1314810334,4803836827,11471526,4.08
1994,83805628,3147765369,1777519863,3714118390,8025635400,1371842557,4900874131,11713811,4.06
1995,91338241,3173689750,1812626642,3940512470,8182131428,1431440352,5035211343,12386978,4.12
1996,97530289,3170892549,1821085245,3831077160,8520395063,1449517227,5241248388,13697325,4.14
1997,98258478,3194886944,1882538437,3856343941,8740287607,1494226362,5317441992,14162916,4.16
1998,100712270,3022190695,1895376138,3856335920,8918357177,1508141461,5441519882,13667721,4.13
1999,106391203,3101918833,1879324950,3699238963,8994155083,1541909824,5603049850,13608483,4.11
2000,105175493,3037440780,1941613302,3874763626,9375568234,1595190176,5781069655,14619135,4.19
2001,106630060,3073594035,1928071944,3897548713,9580168356,1619683832,5810099440,15370287,4.18
2002,111692468,3074210118,1961536340,3891541094,9718858211,1699305140,5961754191,14392235,4.2
2003,113059873,3176988800,2121763902,4077096009,10275479977,1789853384,6086898768,15679906,4.34
2004,117373339,3252749002,2133301297,4508758700,10651624404,1900873361,6369251530,14814824,4.48
2005,106676521,3273220791,2200261958,4925626990,10999048909,2015164035,6510463699,14080315,4.59
2006,110529611,3251999483,2256785262,5167719482,11429008275,2171956044,6662111559,14985164,4.69
2007,113645125,3252488048,2295661144,5440976339,11922191622,2322398140,6869994570,15159739,4.81
2008,111196211,3324808576,2293445050,5556529854,11922311170,2332863672,6874203901,15890915,4.78
2009,121927653,3263235807,2277318766,5545079184,11736104198,2327137536,6734500450,15374298,4.66
2010,122225544,3333734499,2397195662,6089336191,12522037999,2503616029,7019794762,15701366,4.89
2011,130654267,3265964615,2413009225,6316525841,13125537412,2655171551,7136255024,16456244,4.98
2012,133739714,3231364026,2463489074,6335986931,13403960838,2741092682,7196357493,15722920,4.98
2013,137279671,3349873315,2504344000,6363803070,13643025527,2823533612,7381145838,18133250,5.02
2014,134226490,3292241800,2467043337,6427768194,13701006521,2885736359,7503541798,16205214,4.99
2015,137430842,3317820036,2538315670,6291930366,13402260199,2857509771,7737749406,17450161,4.92
2016,136881733,3350071430,2453051282,6149898902,13456932307,2972851865,7886811618,17161562,4.88
2017,134630190,3421028200,2513881441,6078265670,13770780134,3032311280,8079339780,17235337,4.91
2018,135033471,3434208760,2577432661,6213440460,14217022443,3105910409,8273933170,17572512,4.98
2019,140318447,3379672884,2710319161,6249927999,14088010103,3198010779,8282478750,17696023,4.94
2020,146296999,3322845716,2550733474,6194010467,13593464512,3236342133,7092902472,17712270,4.64
2021,143249643,3375472567,2620872505,6341355734,14655450459,3332169704,7634704951,17739419,4.84
2022,143092059,3385633419,2619237844,6223606468,14693366676,3220326194,7943501403,17859999,4.81
2023,143618297,3413532730,2666415660,6406821386,14923933097,3212573553,8239044960,17997356,4.86